order,zoho_invoice_id,zoho_net,shopify_net,delta,zoho_total,shopify_total,status
53937,3806639000022957387,0,1398,1398,1363.95,1398,large_mismatch
53936,3806639000022957379,0,1082.1,1082.1,1136.21,1082.1,large_mismatch
53935,3806639000022971223,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
53934,3806639000023000251,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
53933,3806639000023071247,0,1398,1398,1363.95,1398,large_mismatch
53932,3806639000023014272,0,1298,1298,1258.95,1298,large_mismatch
53931,3806639000022990217,0,1298,1298,1258.95,1298,large_mismatch
53930,3806639000022990209,0,1139.05,1139.05,1196,1139.05,large_mismatch
53929,3806639000022972227,0,2597,2597,2622.9,2597,large_mismatch
53928,3806639000022970279,0,2098,2098,2098.95,2098,large_mismatch
53927,3806639000023034198,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
53926,3806639000023034189,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
53925,3806639000022959295,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
53924,3806639000022958138,0,1298,1298,1258.96,1298,large_mismatch
53923,3806639000023000216,0,1804.1,1804.1,1894.31,1804.1,large_mismatch
53922,3806639000022972195,0,1298,1298,1258.96,1298,large_mismatch
53921,3806639000022959286,0,1398,1398,1363.95,1398,large_mismatch
53920,3806639000022969266,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
53919,3806639000022959276,0,2098,2098,2098.95,2098,large_mismatch
53918,3806639000022993177,0,1398,1398,1363.95,1398,large_mismatch
53917,3806639000022960195,0,1298,1298,1258.95,1298,large_mismatch
53916,3806639000023071206,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
53915,3806639000023014240,0,1994.05,1994.05,2093.75,1994.05,large_mismatch
53914,3806639000022995196,0,1398,1398,1363.95,1398,large_mismatch
53913,3806639000022967234,0,1298,1298,1258.95,1298,large_mismatch
53912,3806639000022991311,0,759.05,759.05,797,759.05,large_mismatch
53911,3806639000022988145,0,1398,1398,1363.95,1398,large_mismatch
53910,3806639000022993167,0,2098,2098,2098.95,2098,large_mismatch
